Exchange Date,Close,Net,%Chg,Open
06-Nov-2020,"3,509.4365",-1.0111,-0.0288%,"3,509.4365"
05-Nov-2020,"3,510.4476",+67.0105,+1.9460%,"3,510.4476"
04-Nov-2020,"3,443.4371",+74.2805,+2.2047%,"3,443.4371"
03-Nov-2020,"3,369.1566",+58.9152,+1.7798%,"3,369.1566"
02-Nov-2020,"3,310.2414",+40.2823,+1.2319%,"3,310.2414"
30-Oct-2020,"3,269.9591",-40.1537,-1.2131%,"3,269.9591"
29-Oct-2020,"3,310.1128",+39.0854,+1.1949%,"3,310.1128"
28-Oct-2020,"3,271.0274",-119.6570,-3.5290%,"3,271.0274"
27-Oct-2020,"3,390.6844",-10.2838,-0.3024%,"3,390.6844"
26-Oct-2020,"3,400.9682",-64.4190,-1.8589%,"3,400.9682"
23-Oct-2020,"3,465.3872",+11.8970,+0.3445%,"3,465.3872"
22-Oct-2020,"3,453.4902",+17.9347,+0.5220%,"3,453.4902"
21-Oct-2020,"3,435.5555",-7.5613,-0.2196%,"3,435.5555"
20-Oct-2020,"3,443.1168",+16.1927,+0.4725%,"3,443.1168"
19-Oct-2020,"3,426.9241",-56.8837,-1.6328%,"3,426.9241"
16-Oct-2020,"3,483.8078",+0.4664,+0.0134%,"3,483.8078"
15-Oct-2020,"3,483.3414",-5.3246,-0.1526%,"3,483.3414"
14-Oct-2020,"3,488.6660",-23.2639,-0.6624%,"3,488.6660"
13-Oct-2020,"3,511.9299",-22.2861,-0.6306%,"3,511.9299"
12-Oct-2020,"3,534.2160",+57.0817,+1.6416%,"3,534.2160"
09-Oct-2020,"3,477.1343",+30.3059,+0.8792%,"3,477.1343"
08-Oct-2020,"3,446.8284",+27.3791,+0.8007%,"3,446.8284"
07-Oct-2020,"3,419.4493",+58.4972,+1.7405%,"3,419.4493"
06-Oct-2020,"3,360.9521",-47.6747,-1.3986%,"3,360.9521"
05-Oct-2020,"3,408.6268",+60.1831,+1.7973%,"3,408.6268"
02-Oct-2020,"3,348.4437",-32.3549,-0.9570%,"3,348.4437"
01-Oct-2020,"3,380.7986",+17.7996,+0.5293%,"3,380.7986"
30-Sep-2020,"3,362.9990",+27.5241,+0.8252%,"3,362.9990"
29-Sep-2020,"3,335.4749",-16.1247,-0.4811%,"3,335.4749"
28-Sep-2020,"3,351.5996",+53.1427,+1.6111%,"3,351.5996"
25-Sep-2020,"3,298.4569",+51.8693,+1.5977%,"3,298.4569"
24-Sep-2020,"3,246.5876",+9.6672,+0.2987%,"3,246.5876"
23-Sep-2020,"3,236.9204",-78.6459,-2.3720%,"3,236.9204"
22-Sep-2020,"3,315.5663",+34.5073,+1.0517%,"3,315.5663"
21-Sep-2020,"3,281.0590",-38.4068,-1.1570%,"3,281.0590"
18-Sep-2020,"3,319.4658",-37.5442,-1.1184%,"3,319.4658"
17-Sep-2020,"3,357.0100",-28.4810,-0.8413%,"3,357.0100"
16-Sep-2020,"3,385.4910",-15.7100,-0.4619%,"3,385.4910"
15-Sep-2020,"3,401.2010",+17.6594,+0.5219%,"3,401.2010"
14-Sep-2020,"3,383.5416",+42.5754,+1.2743%,"3,383.5416"
11-Sep-2020,"3,340.9662",+1.7811,+0.0533%,"3,340.9662"
10-Sep-2020,"3,339.1851",-59.7742,-1.7586%,"3,339.1851"
09-Sep-2020,"3,398.9593",+67.1165,+2.0144%,"3,398.9593"
08-Sep-2020,"3,331.8428",-95.1211,-2.7757%,"3,331.8428"
04-Sep-2020,"3,426.9639",-28.1010,-0.8133%,"3,426.9639"
03-Sep-2020,"3,455.0649",-125.7794,-3.5126%,"3,455.0649"
02-Sep-2020,"3,580.8443",+54.1930,+1.5367%,"3,580.8443"
01-Sep-2020,"3,526.6513",+26.3428,+0.7526%,"3,526.6513"
31-Aug-2020,"3,500.3085",-7.7062,-0.2197%,"3,500.3085"
28-Aug-2020,"3,508.0147",+23.4644,+0.6734%,"3,508.0147"
27-Aug-2020,"3,484.5503",+5.8180,+0.1672%,"3,484.5503"
26-Aug-2020,"3,478.7323",+35.1102,+1.0196%,"3,478.7323"
25-Aug-2020,"3,443.6221",+12.3400,+0.3596%,"3,443.6221"
24-Aug-2020,"3,431.2821",+34.1244,+1.0045%,"3,431.2821"
21-Aug-2020,"3,397.1577",+11.6442,+0.3439%,"3,397.1577"
20-Aug-2020,"3,385.5135",+10.6632,+0.3160%,"3,385.5135"
19-Aug-2020,"3,374.8503",-14.9247,-0.4403%,"3,374.8503"
18-Aug-2020,"3,389.7750",+7.7800,+0.2300%,"3,389.7750"
17-Aug-2020,"3,381.9950",+9.1482,+0.2712%,"3,381.9950"
14-Aug-2020,"3,372.8468",-0.5789,-0.0172%,"3,372.8468"
13-Aug-2020,"3,373.4257",-6.9241,-0.2048%,"3,373.4257"
12-Aug-2020,"3,380.3498",+46.6607,+1.3997%,"3,380.3498"
11-Aug-2020,"3,333.6891",-26.7836,-0.7970%,"3,333.6891"
10-Aug-2020,"3,360.4727",+9.1895,+0.2742%,"3,360.4727"
07-Aug-2020,"3,351.2832",+2.1272,+0.0635%,"3,351.2832"
06-Aug-2020,"3,349.1560",+21.3849,+0.6426%,"3,349.1560"
